Question,Answer,Climate_Type,Acupuncture_Points,Pharmacopeia
How to prevent illness during season transitions?,"Tonify zheng qi, regulate yin-yang transition, strengthen spleen and kidney, support wei qi.",Seasonal Transitions,"ST-36 (Zusanli), LI-4 (Hegu), LU-7 (Lieque), REN-6 (Qihai), DU-14 (Dazhui)",Bu Zhong Yi Qi Tang (Tonify Middle and Augment Qi) for prevention
What is the treatment for late-summer damp-heat patterns?,"Clear damp-heat, transform dampness, regulate spleen-stomach, prevent retention.",Late Summer/Humid-Heat,"SP-9 (Yinlingquan), ST-36 (Zusanli), LI-11 (Quchi), REN-9 (Shuifen), ST-44 (Neiting)",San Ren Tang (Three - Seed Decoction) for damp - heat in qi level
How do you address winter yin deficiency (heating systems)?,"Nourish kidney yin, moisten dryness from indoor heating, generate fluids, balance yin-yang.",Winter/Indoor Heating/Dry,"KI-3 (Taixi), KI-6 (Zhaohai), LU-7 (Lieque), SP-6 (Sanyinjiao), REN-4 (Guanyuan)",Liu Wei Di Huang Wan (Six - Ingredient Rehmannia) for kidney yin nourishment
What points treat spring liver qi stagnation flare-ups?,"Soothe liver, move qi, release constraint, harmonize liver with spleen, regulate emotions.",Spring/Wood Rising,"LV-3 (Taichong), LV-14 (Qimen), GB-34 (Yanglingquan), PC-6 (Neiguan), LI-4 (Hegu)",Xiao Yao San (Free and Easy Wanderer) for liver qi stagnation
How to treat autumn melancholy and lung qi weakness?,"Tonify lung qi, nourish metal element, lift mood, moisten dryness, resolve sadness.",Autumn/Dry/Metal Season,"LU-9 (Taiyuan), LU-7 (Lieque), REN-17 (Danzhong), DU-20 (Baihui), PC-6 (Neiguan)",Bu Fei Tang (Tonify Lung Decoction) + Gan Mai Da Zao Tang for mood
What is the treatment for rapid weather changes causing illness?,"Stabilize wei qi, regulate yin-yang adaptation, tonify zheng qi, protect exterior.",Variable/Unstable Weather,"LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli), DU-14 (Dazhui), GB-20 (Fengchi)",Yu Ping Feng San (Jade Windscreen) to stabilize exterior defense
How to treat respiratory damage from air pollution?,"Clear lung heat-toxin, transform phlegm, moisten lung, strengthen wei qi, expel pollution.",Urban/Polluted Air,"LU-7 (Lieque), LU-5 (Chize), ST-40 (Fenglong), REN-17 (Danzhong), BL-13 (Feishu)","Qing Fei Tang (Clear Lung Decoction) + Mai Men Dong, Yu Zhu to moisten"
What points address pollution-induced allergies?,"Clear heat-toxin, expel wind, tonify lung and spleen, strengthen defensive qi.",Urban/Polluted Air,"LI-20 (Yingxiang), LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli), SP-6 (Sanyinjiao)",Yu Ping Feng San (Jade Windscreen) + Xin Yi Hua for nasal inflammation
How do you treat heavy metal toxicity accumulation?,"Clear heat-toxin, invigorate blood, resolve stasis, strengthen liver-kidney detoxification.",Urban/Industrial Pollution,"LV-3 (Taichong), LV-14 (Qimen), BL-18 (Ganshu), BL-23 (Shenshu), ST-36 (Zusanli)","Gan Mai Da Zao Tang + detoxifying herbs - Lu Dou (mung bean), Hai Dai (kelp)"
What is the treatment for electromagnetic sensitivity (EMF)?,"Calm shen, anchor yang, tonify kidney essence, regulate qi flow, ground energy.",Urban/High EMF,"DU-20 (Baihui), KI-1 (Yongquan), PC-6 (Neiguan), HT-7 (Shenmen), KI-3 (Taixi)",Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill) to calm shen and nourish
How to address urban stress and adrenal fatigue?,"Tonify kidney yang and essence, restore ming men fire, nourish yin, regulate stress response.",Urban/High Stress,"DU-4 (Mingmen), BL-23 (Shenshu), REN-4 (Guanyuan), ST-36 (Zusanli), KI-3 (Taixi)",Jin Gui Shen Qi Wan (Kidney Qi Pill) or You Gui Wan for severe yang deficiency
What points treat noise pollution-induced stress?,"Calm shen, benefit ears, anchor yang, regulate kidney and heart, reduce hyperarousal.",Urban/Noise Pollution,"HT-7 (Shenmen), KI-3 (Taixi), TE-17 (Yifeng), GB-2 (Tinghui), Yintang",Suan Zao Ren Tang (Sour Jujube Decoction) to calm spirit
How do you treat light pollution-disrupted circadian rhythm?,"Regulate yin-yang cycle, tonify kidney, calm shen, harmonize sleep-wake, anchor yang at night.",Urban/Light Pollution,"KI-6 (Zhaohai), BL-62 (Shenmai), HT-7 (Shenmen), Anmian (Extra), GB-20 (Fengchi)","Gui Pi Tang (Restore Spleen) if can't fall asleep, Suan Zao Ren Tang if can't stay asleep"
What is the treatment for chemical sensitivity syndrome?,"Strengthen wei qi, clear toxins, regulate liver detoxification, tonify lung and spleen.",Urban/Chemical Exposure,"LI-4 (Hegu), LU-7 (Lieque), LV-3 (Taichong), ST-36 (Zusanli), BL-18 (Ganshu)",Xiao Yao San (Free and Easy Wanderer) + detoxifying herbs
How to address water pollution effects on kidney?,"Tonify kidney, clear toxins, strengthen kidney filtration, resolve dampness, protect essence.",Urban/Water Pollution,"BL-23 (Shenshu), KI-3 (Taixi), REN-4 (Guanyuan), BL-28 (Pangguangshu), SP-9 (Yinlingquan)",Liu Wei Di Huang Wan (Six - Ingredient Rehmannia) + detoxifying herbs
What points treat urban immune deficiency from multiple stressors?,"Tonify zheng qi, strengthen wei qi, tonify lung-spleen-kidney, boost immune function.",Urban/Multiple Stressors,"ST-36 (Zusanli), LI-4 (Hegu), LU-7 (Lieque), REN-6 (Qihai), DU-14 (Dazhui)",Bu Zhong Yi Qi Tang (Tonify Middle and Augment Qi) + Yu Ping Feng San
How to treat shock and trauma from natural disasters?,"Calm shen urgently, restore qi, anchor ethereal soul, regulate heart, prevent PTSD pattern.",Natural Disaster/Extreme Event,"HT-7 (Shenmen), PC-6 (Neiguan), DU-20 (Baihui), DU-26 (Renzhong), LV-3 (Taichong)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) for emotional shock + Suan Zao Ren"
What is the treatment for storm/barometric pressure headaches?,"Descend yang, regulate qi and blood to head, expel wind, calm liver, open channels.",Storm/Barometric Changes,"GB-20 (Fengchi), LI-4 (Hegu), LV-3 (Taichong), DU-20 (Baihui), Taiyang (Extra)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria) for wind and liver yang rising
How do you address flood-related dampness diseases?,"Transform severe dampness, expel external damp, clear toxins, regulate spleen-kidney, prevent chronic damp.",Flood/Extreme Dampness,"SP-9 (Yinlingquan), ST-36 (Zusanli), REN-9 (Shuifen), ST-28 (Shuidao), BL-22 (Sanjiaoshu)",Wu Ling San (Five - Ingredient Poria) or Ping Wei San for severe dampness
What points treat hurricane/typhoon wind-damp injuries?,"Expel wind-damp, open channels, invigorate blood, resolve trauma, warm if cold-damp.",Hurricane/Typhoon/Extreme Wind-Damp,"GB-20 (Fengchi), GB-31 (Fengshi), GB-34 (Yanglingquan), ST-36 (Zusanli), local injuries",Qiang Huo Sheng Shi Tang (Notopterygium Overcome Dampness) for wind - cold - damp
How to treat long-term health effects of climate refugees?,"Tonify all organ systems comprehensively, restore qi-blood-yin-yang balance, strengthen zheng qi, rebuild constitution.",Multiple Climate Extremes/Displacement,"ST-36 (Zusanli), REN-6 (Qihai), BL-23 (Shenshu), BL-20 (Pishu), DU-20 (Baihui)",Shi Quan Da Bu Tang (Perfect Major Supplementation Decoction) - comprehensive tonification
