Question,Answer,Acupuncture_Points,Herbal_Formula,Pharmacopeia_If_Needed
What pulse patterns are concerning?,"Very weak/thready pulse (severe deficiency), wiry-rapid pulse (Liver Fire), choppy pulse (Blood stasis), scattered pulse (Spirit disturbed).",Pulse guides treatment approach,Match formula to pulse,"Weak pulse: add Ren Shen 9g, Huang Qi 15g; Wiry-rapid: add Long Dan Cao 6g, Huang Qin 9g"
How do you work with psychiatrists/therapists?,"Collaborative care is best. Communicate openly (with patient permission), share treatment plans, coordinate medication changes with herbal adjustments.",Integrated treatment plan,Herb-drug interactions matter,Monitor: St. John's Wort interacts with SSRIs; adjust herbs when medications change
What if patient wants to stop psychiatric medications?,"Never advise stopping medications. If patient and psychiatrist agree to taper, TCM can support the process with close monitoring.",Supportive acupuncture during taper,Formulas ease withdrawal,Taper support: Tian Wang Bu Xin Dan or Gui Pi Tang to stabilize during medication reduction
How do you document suicidal ideation?,"Document clearly: passive vs. active thoughts, plan, means, protective factors, risk level. Have emergency protocols and referral resources ready.",Documentation supports decisions,Clear records protect all parties,"Document: frequency, intensity, triggers, protective factors, treatment response, referrals made"
What if patient misses appointments repeatedly?,Reach out with care and concern. Missed appointments may indicate worsening condition. Have emergency contact protocol in place.,Follow-up is essential,Adjust to patent medicines if needed,"Consider switching to patent formulas (Tian Wang Bu Xin Wan, An Shen Bu Xin Wan) for easier compliance"
How frequently should you see high-risk patients?,High-risk: 2-3x per week initially. Moderate risk: weekly. Low risk/maintenance: bi-weekly to monthly. Adjust based on progress.,Frequent treatment stabilizes Shen,Daily herbal medicine between sessions,"High-risk: daily herbs essential; provide 7-day supply, require weekly refill to monitor compliance"
What informed consent is needed?,"Explain TCM is complementary, not emergency treatment. Patient should have crisis plan, emergency contacts, and understand when to seek emergency care.",Informed consent protects both parties,Document understanding of scope,"Written consent documenting: TCM is adjunct, emergency protocols, limits of treatment"
Can TCM treat adolescent suicidal crisis?,"Yes, but require parental involvement, coordination with mental health professionals, and age-appropriate modifications (gentler treatment, lower doses).","Gentle acupuncture: fewer needles, shorter retention",Lower herbal doses by weight,"Adolescent dosing: 50-70% of adult dose based on weight; use safer, gentler formulas"
How do you handle therapeutic boundaries?,Maintain professional boundaries while showing compassion. Avoid over-involvement. Have supervision or consultation available for difficult cases.,Professional boundaries essential,Clear treatment relationship,"Boundaries support healing; provide resources, not personal phone for after-hours (use crisis hotline)"
What if you feel overwhelmed as practitioner?,"Seek supervision, consultation, or refer to more experienced practitioners. Treating suicidal patients requires strong clinical skills and self-care.",Practitioner self-care essential,Consultation improves outcomes,"Self-care for practitioner: regular supervision, peer consultation, own stress management"
How do you measure treatment progress?,"Track: suicidal thought frequency/intensity, sleep quality, appetite, energy, ability to engage in life. Use standardized scales if helpful.",Pulse and tongue changes indicate progress,Symptom reduction guides adjustment,"Track weekly: sleep hours, appetite rating 1-10, suicidal thought frequency, energy level, formula modifications"
What is realistic timeline for improvement?,Acute symptoms may improve in 2-4 weeks. Full pattern resolution: 3-6 months minimum. Chronic cases may need 1-2 years of treatment.,Gradual improvement expected,Long-term treatment often necessary,"Timeline: 2 weeks initial response, 6-8 weeks significant improvement, 3-6 months pattern resolution, 1-2 years maintenance"
How do you treat substance abuse with suicidal thoughts?,"Clear Liver Fire and Damp-Heat, tonify Kidney and Spleen, calm Shen. Address both addiction and underlying depression simultaneously.","LR-3, LR-2, ST-36, HT-7, KI-3",Modified Long Dan Xie Gan Tang plus Shen-calming,"Long Dan Cao 6g, Huang Qin 9g, Zhi Zi 9g, Ge Gen 15g (alcohol), Ku Shen 9g, Long Gu 30g, Mu Li 30g"
What about chronic pain and suicidal depression?,Chronic pain often involves Blood stasis and Qi stagnation contributing to depression. Treat both pain and emotional aspects together.,"Pain points plus HT-7, PC-6, GV-20, SP-6",Combine pain and mood formulas,"Combine: Shao Yao Gan Cao Tang (pain) + modified Xiao Yao San (mood): Bai Shao 15-30g, Gan Cao 6-9g, Chai Hu 9g, Dang Gui 12g"
How does hormonal imbalance contribute?,"Hormonal changes (menopause, post-partum, thyroid) affect Liver-Kidney-Heart axis. Support with Kidney-nourishing and Blood-tonifying treatment.","KI-3, SP-6, CV-4, LR-3",Er Xian Tang or Gui Pi Tang,"Menopause: Ba Ji Tian 9g, Xian Mao 9g, Dang Gui 12g, Zhi Mu 9g, Huang Bai 6g; Post-partum: Gui Pi Tang formula"
Can autoimmune disease trigger mental health crisis?,Yes. Autoimmune conditions often involve Heat toxins and Blood deficiency/stasis affecting the Shen. Treat underlying condition and calm spirit.,Autoimmune points plus Shen-calming,Combine autoimmune and calming formulas,"Add to autoimmune formula: Long Gu 30g, Mu Li 30g, Suan Zao Ren 15g, Yuan Zhi 6g (20-30% of formula)"
What about treatment-resistant depression?,"Consider multiple pattern combinations: Phlegm-Fire with Blood stasis, Kidney Yang deficiency with Liver Qi stagnation. Use complex formulas.",Comprehensive multilayer point selection,Combined complex formulas,"Complex formula: Wen Dan Tang + small dose Long Dan Xie Gan + tonics (Ren Shen 6g, Shu Di 12g) - all patterns"
How do you treat bipolar disorder with TCM?,Balance extreme Heat (mania) and extreme Cold/deficiency (depression). Use stabilizing formulas that both clear and tonify.,"LR-3, PC-6, HT-7, ST-40, GV-20 consistently",Chai Hu Jia Long Gu Mu Li Tang as base,"Base: Chai Hu 9g, Long Gu 30g, Mu Li 30g; Manic: add Huang Lian 6g, Zhi Zi 9g; Depressed: add Shu Di 15g, Dang Gui 12g"
What about schizophrenia with suicidal ideation?,TCM treats as Phlegm-Fire misting the Heart orifices with severe Shen disturbance. Must coordinate closely with psychiatric care.,"ST-40, PC-5, GV-20, GV-26",Meng Shi Gun Tan Wan under supervision,"Phlegm-Fire: Meng Shi 1-3g, Ban Xia 9g, Chen Xing 1-3g, Huang Qin 9g, Zhi Zi 9g, Shi Chang Pu 9g (expert use only)"
How do cultural factors affect treatment?,Different cultures express mental distress differently. Adapt questioning and treatment to patient's cultural framework and beliefs.,Culturally sensitive assessment,Consider cultural preferences,Some cultures prefer patent pills over decoctions; adjust form while maintaining therapeutic principles
What about childhood trauma and current crisis?,"Childhood trauma injures Kidney Jing and Heart Shen, creating vulnerability. Long-term treatment focuses on rebuilding foundation.","KI-3, BL-23, HT-7, GV-20, CV-4, SP-6",Long-term: Sequential tonification,"Phase 1: Zuo Gui Wan (3 months), Phase 2: Ba Zhen Tang (3 months), Phase 3: Tian Wang Bu Xin Dan (3-6 months)"
Can TCM help with PTSD-related suicidal thoughts?,"Yes. PTSD involves scattered Shen, Liver Qi stagnation, and often Phlegm-Fire. Calm spirit, course Liver, settle Hun (ethereal soul).","HT-7, PC-6, LR-3, GV-24, CV-15, Ear Shenmen",Modified Chai Hu Jia Long Gu Mu Li Tang,"Chai Hu 9g, Long Gu 30g, Mu Li 30g, Yuan Zhi 9g, He Huan Pi 15g, Suan Zao Ren 30g, Shi Chang Pu 9g"
What modifications for cancer patients with depression?,"Support Zheng Qi (righteous Qi), tonify deficiency, clear toxins gently, calm Shen. Coordinate with oncology team regarding herb-drug interactions.","ST-36, CV-6, BL-20, BL-23, HT-7, PC-6",Modified Bu Zhong Yi Qi Tang with calming,"Huang Qi 15-30g, Dang Shen 12g, Bai Zhu 9g, Dang Gui 9g, Fu Ling 12g, Suan Zao Ren 15g, Yuan Zhi 6g; check chemo interactions"
How do you treat medical professionals with burnout crisis?,"Burnout combines Spleen Qi, Heart Blood, Kidney Yin deficiency with Liver Qi stagnation. Need rest and rebuilding.","HT-7, PC-6, LR-3, SP-6, ST-36, KI-3, GV-20",Gui Pi Tang or Ba Zhen Tang plus Xiao Yao,"Combined: Ren Shen 9g, Huang Qi 15g, Dang Gui 12g, Shu Di 15g, Chai Hu 9g, Bai Shao 15g, Fu Ling 12g, Suan Zao Ren 15g"
What about religious/spiritual crisis leading to suicide?,Acknowledge spiritual dimension. Support Shen cultivation while addressing physiological imbalances. May integrate with spiritual counseling.,"GV-20 (Heaven's meeting), CV-17, HT-7, EX-HN-3",Shen-nourishing formulas,"Spiritual support: Ren Shen 6-9g, Fu Shen 12g, Yuan Zhi 9g, Shi Chang Pu 9g, Dan Shen 9g for clarity and connection"
Can seasonal affective disorder become severe?,"Yes. Winter Yang Qi deficiency can progress to severe depression. Tonify Yang, warm Kidney, lift Spirit.","GV-20, GV-4 (Mingmen), CV-6, ST-36, KI-3, BL-23",You Gui Wan or modified Fu Zi formulas,"You Gui Wan formula: Shu Di 24g, Shan Zhu Yu 12g, Gui Ban Jiao 9g, Lu Jiao Jiao 9g, Fu Zi 3-6g (processed), Rou Gui 3-6g"
How do you know when to refer out?,"Refer when: beyond your expertise, patient not responding after reasonable trial, active psychosis, emergency risk, patient requests Western care.",Clear referral protocols essential,TCM continues as adjunct after referral,"Refer promptly; continue supportive TCM treatment (Gan Mai Da Zao Tang, HT-7, PC-6) alongside psychiatric care"
