Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
How to support fertility with poor ovarian reserve?,KI3 and KI6 nourish Kidney Jing. CV4 and GV4 for Mingmen. BL23 (Shenshu) for Kidney. SP6 for blood. ST36 for overall vitality. Moxa on lower back.,"KI3, KI6, CV4, GV4, BL23, SP6, ST36",Zuo Gui Wan; Liu Wei Di Huang Wan with additions,Stop blood movers once pregnancy confirmed
What is the treatment for premature ovarian failure?,KI3 and KI6 nourish Kidney Jing deeply. CV4 for Ren Mai. GV4 (Mingmen) for Kidney Yang. BL23 for Kidney. ST36 and SP6 for Qi and blood.,"KI3, KI6, CV4, GV4, BL23, ST36, SP6",Er Xian Tang; Zuo Gui Wan or You Gui Wan based on pattern,If pregnancy desired avoid strong herbs once conceived
How to treat pregnancy-related symphysis pubis dysfunction?,CV2 and CV3 local points with gentle technique. GB29 (Juliao) for hip. SP12 (Chongmen) for groin. ST36 for Qi. BL32 with care.,"CV2, CV3, GB29, SP12, ST36, BL32",Topical only,Use very gentle technique - common painful pregnancy condition
What points help with breastfeeding-related nipple pain?,SI1 (Shaoze) for breast/nipple issues. LR3 if engorgement causing pain. CV17 for chest Qi. Topical treatment often more appropriate.,"SI1, LR3, CV17",Topical Zi Cao (Lithospermum) ointment,Safe - important breastfeeding support
How to treat adenomyosis?,SP10 and SP6 strongly move blood. LR3 for Liver Qi. CV3 and CV4 for uterus. BL32 (Ciliao) for pelvic blood stasis. ST29 (Guilai) local point.,"SP10, SP6, LR3, CV3, CV4, BL32, ST29",Gui Zhi Fu Ling Wan; Ge Xia Zhu Yu Tang,CONTRAINDICATED during pregnancy - strongly moves blood
What is the perimenopause bone health support protocol?,KI3 and BL23 strengthen Kidney. GV4 (Mingmen) for Kidney Yang. ST36 for overall vitality. GB34 for bones and sinews. SP6 for blood nourishing bones.,"KI3, BL23, GV4, ST36, GB34, SP6",Liu Wei Di Huang Wan with Du Zhong and Xu Duan,Not a pregnancy concern - perimenopause
How to treat pregnancy-related round ligament pain?,ST29 (Guilai) local point with very gentle technique. SP12 (Chongmen) for groin. CV4 with care. ST36 for Qi. Ahshi points gently.,"ST29, SP12, CV4, ST36",Topical only,Common pregnancy pain - use very gentle technique
What points treat postpartum urinary retention?,CV3 and CV4 local points. BL32 (Ciliao) for pelvic nerves. SP6 for lower jiao. KI3 for Kidney Qi transformation. ST36 for overall Qi.,"CV3, CV4, BL32, SP6, KI3, ST36",None typically - acupuncture primary treatment,Postpartum complication - may need catheterization if severe
How to prepare for cesarean recovery?,Pre-surgery: ST36 and SP6 to build Qi and blood. Post-surgery: CV4 and CV6 for abdominal healing. BL17 (Geshu) for blood. Avoid direct needling near incision.,"ST36, SP6, CV4, CV6, BL17",Sheng Hua Tang then Ba Zhen Tang for recovery,Postpartum protocol
What is the treatment for chronic vulvar pain?,LR5 (Ligou) for Liver genital channel. KI10 (Yingu) for Kidney Yin. SP6 for lower jiao. CV1 (Huiyin) - moxa near not on point. HT7 if anxiety component.,"LR5, KI10, SP6, CV1, HT7",Pattern-based - often Yin nourishing formula,Investigate cause - safe points during pregnancy
How to treat pregnancy-related rib pain?,LR14 (Qimen) local for ribs. GB24 (Riyue) for lateral ribs. PC6 for chest. LR3 for Liver Qi. CV17 if central chest.,"LR14, GB24, PC6, LR3, CV17",None internal - topical possible,Common pregnancy complaint - use gentle technique
What points help with diastasis recti postpartum?,CV4 and CV6 strengthen abdominal center. ST25 (Tianshu) with very gentle technique. BL20 (Pishu) for Spleen holding. GV20 to raise Qi.,"CV4, CV6, ST25, BL20, GV20",Bu Zhong Yi Qi Tang,Postpartum issue - pair with physical therapy
How to treat perimenopausal brain fog?,GV20 (Baihui) clears the mind. Sishencong (extra points) for mental clarity. HT7 for cognition. KI3 nourishes Kidney to support brain. ST36 for Qi.,"GV20, Sishencong, HT7, KI3, ST36",Liu Wei Di Huang Wan with Shi Chang Pu and Yuan Zhi,Not a pregnancy concern - perimenopause
What is the point protocol for female stress response support?,HT7 calms the Heart. PC6 for emotional regulation. LR3 soothes Liver. GV20 lifts spirit. KI3 nourishes foundation. SP6 for blood.,"HT7, PC6, LR3, GV20, KI3, SP6",Xiao Yao San; Gan Mai Da Zao Tang,Safe during pregnancy - stress management important
