Question,Answer,Professional_Acupuncture_Points,TCM_Herbal_Formula_Recommendations,Pregnancy_Safety_Notes
"When perfectionism delays my work, what can I do in the next 5 minutes?","Set a timer for focused work, remind yourself that 'done is better than perfect,' and commit to one small next step.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel my breath becoming shallow at work, what can I do immediately?","Place one hand on your belly, breathe deeply so your hand rises, exhale fully for a count of 6, and repeat 10 times.","CV17 (Danzhong), LU1 (Zhongfu), PC6 (Neiguan), LU7 (Lieque), CV22 (Tiantu)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my hips feel tight from sitting all day, what can I do in the next 5 minutes?","Stand and do gentle hip circles, lunge stretches, or figure-4 stretches (ankle on opposite knee) for 30 seconds each side.","GB30 (Huantiao), BL54 (Zhibian), GB34 (Yanglingquan), ST31 (Biguan), BL40 (Weizhong)",Xiao Yao San (Liver Qi stagnation tension) | Ge Gen Tang (neck-shoulder tension) | Juan Bi Tang (if chronic),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my feet feel numb or cold at my desk, what can I do in the next 5 minutes?","Remove shoes, wiggle toes, roll feet on a tennis ball, or stand and do heel raises 20 times to boost circulation.","KI1 (Yongquan), ST36 (Zusanli), LV3 (Taichong), KI3 (Taixi), SP6 (Sanyinjiao)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I get a stiff neck from phone use, what can I do in the next 5 minutes?","Hold phone at eye level, gently tilt head side to side, do slow yes/no head movements, and roll shoulders back.","GB20 (Fengchi), BL10 (Tianzhu), SI3 (Houxi), LI4 (Hegu), GV14 (Dazhui)",Xiao Yao San (Liver Qi stagnation tension) | Ge Gen Tang (neck-shoulder tension) | Juan Bi Tang (if chronic),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my upper back feels knotted, what can I do in the next 5 minutes?","Roll shoulders back 10 times, squeeze shoulder blades together and hold for 5 seconds (repeat 10 times), and breathe deeply.","GB21 (Jianjing), SI11 (Tianzong), LI15 (Jianyu), BL13 (Feishu), GB20 (Fengchi)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I clench my jaw unconsciously, what can I do throughout the day?","Set hourly reminders to relax your jaw, keep tongue on roof of mouth with teeth slightly apart, and massage jaw joints gently.","ST6 (Jiache), ST7 (Xiaguan), LI4 (Hegu), LV3 (Taichong), GB20 (Fengchi)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my chest feels tight from stress, what can I do in the next 5 minutes?","Stand in a doorway, place forearms on frame, lean forward gently to open chest, hold 30 seconds, and breathe deeply.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I have cold hands from stress, what can I do in the next 5 minutes?","Rub hands together vigorously, shake them out, run warm water over them, or do arm swings to increase circulation.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When sitting causes my knees to ache, what can I do in the next 5 minutes?","Stand and gently bend and straighten knees 20 times, walk in place, or sit with feet elevated for a few minutes.","ST35 (Dubi), ST36 (Zusanli), SP10 (Xuehai), SP9 (Yinlingquan), GB34 (Yanglingquan)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel my posture deteriorating throughout the day, what can I do hourly?","Set a reminder to stand, stretch tall with arms overhead, pull shoulders back, and reset proper sitting alignment.","GV20 (Baihui), GV14 (Dazhui), BL11 (Dazhu), ST36 (Zusanli), BL23 (Shenshu)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my hands tingle from poor circulation, what can I do in the next 5 minutes?","Shake hands vigorously, make fists and release 20 times, stretch fingers wide, and rotate wrists in both directions.","LI4 (Hegu), LI11 (Quchi), PC6 (Neiguan), PC7 (Daling), SJ5 (Waiguan), LU9 (Taiyuan)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I work through my lunch break habitually, how can I change this?","Block lunch in your calendar as a meeting, set an alarm, eat away from your desk, and take at least 20 minutes to eat mindfully.","ST36 (Zusanli), CV12 (Zhongwan), PC6 (Neiguan), SP6 (Sanyinjiao), ST25 (Tianshu)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I check work emails on weekends, what boundary can I set?","Designate specific times (e.g., Sunday 4-5pm only), turn off notifications, and communicate your availability to your team.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I say yes to everything at work, what can I practice saying?","Try: 'Let me check my capacity and get back to you,' or 'I can do this if we deprioritize X' to protect your time.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my family complains I'm always on my phone, what can I do?","Create phone-free zones (dinner table, bedroom), use airplane mode during quality time, and schedule tech-free family activities.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel guilty taking breaks, what perspective shift helps?","Reframe breaks as productivity tools, not laziness; research shows regular breaks improve focus, creativity, and work quality.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I have no hobbies outside work anymore, how do I start?","Schedule one 30-minute activity weekly that has nothing to do with work: reading, crafts, sports, music, or nature walks.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When work consumes my thoughts during family time, what mental practice helps?","Notice when work thoughts arise, acknowledge them, and gently redirect attention to the present moment and people around you.","GV20 (Baihui), GV24 (Shenting), Yintang, PC6 (Neiguan), ST36 (Zusanli), SP6 (Sanyinjiao)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I feel I have no time for self-care, what's a realistic start?","Begin with just 5 minutes daily: morning stretches, evening tea ritual, or short walk—consistency matters more than duration.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I resent my job but feel trapped, what small step can I take?","Journal what you dislike and what you'd prefer, update your resume, research options, or speak to a career counselor for perspective.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I notice burnout symptoms, what should I do first?","Acknowledge it without shame, talk to HR or your manager about workload, schedule time off, and consider professional support.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",Bu Zhong Yi Qi Tang (severe Qi deficiency) | Shi Quan Da Bu Tang (Qi-Blood exhaustion) | Gui Pi Tang (mental exhaustion),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I want to use acupressure at my desk, which points are easiest to access?","Try LI4 (hand web), PC6 (wrist), and GV20 (head top)—press gently for 1-2 minutes while breathing slowly.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel Liver Qi stagnation from stress, what foods should I eat?","Eat more dark leafy greens, beets, citrus, mint tea, and bitter foods; avoid alcohol, fried foods, and excessive caffeine.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I have Spleen Qi deficiency from overwork, how should I adjust my diet?","Eat warm cooked foods, soups, root vegetables, and avoid raw/cold foods, excessive sweets, and eating while working.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I experience Heart Shen disturbance with anxiety, which herbal tea might help?","Try chamomile, jujube seed, or longan tea; these calm the Shen and support restful sleep (consult practitioner for formulas).","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I have Kidney deficiency from chronic stress, what lifestyle changes help?","Prioritize sleep, reduce overwork, eat kidney-nourishing foods (black beans, walnuts), avoid excessive sexual activity, and rest more.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I want to support my Lung Qi at work, what breathing practice is best?","Practice diaphragmatic breathing: inhale deeply into belly, exhale fully, repeat 10 times; helps Lung Qi and reduces stress.","CV17 (Danzhong), LU1 (Zhongfu), PC6 (Neiguan), LU7 (Lieque), CV22 (Tiantu)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I have rising Liver Yang with headaches, which acupoints can I press?","LV3 (foot top), GB20 (skull base), and Taiyang (temple)—press gently while breathing and avoid anger/frustration triggers.","LV3 (Taichong), GB20 (Fengchi), Taiyang, LI4 (Hegu), GV20 (Baihui), Yintang",Tian Ma Gou Teng Yin (Liver Yang rising headache) | Xiao Yao San (stress headaches) | Chuan Xiong Cha Tiao San (Wind-Cold headache),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I want TCM support for burnout, which formula patterns are common?","Common patterns include Qi deficiency, Blood deficiency, Yin deficiency, Liver Qi stagnation—see a TCM practitioner for diagnosis.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",Bu Zhong Yi Qi Tang (severe Qi deficiency) | Shi Quan Da Bu Tang (Qi-Blood exhaustion) | Gui Pi Tang (mental exhaustion),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I use self-acupressure for stress, how long and how often?","Press each point 1-2 minutes, 2-3 times daily; use gentle circular pressure, breathe slowly, and be consistent for best results.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I want to prevent burnout with TCM principles, what are key practices?","Balance work/rest, eat seasonally, sleep before 11pm, manage emotions, move regularly, and seek treatment at early signs.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",Bu Zhong Yi Qi Tang (severe Qi deficiency) | Shi Quan Da Bu Tang (Qi-Blood exhaustion) | Gui Pi Tang (mental exhaustion),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When sitting in video calls all day, how can I stay more active?","Stand for some calls, do seated leg lifts, stretch between meetings, and take walking calls when camera-off is acceptable.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When blue light affects my sleep, what can I do before bed?","Use blue light filters after 7pm, wear blue-blocking glasses, dim screens, and avoid devices 1 hour before sleep.","HT7 (Shenmen), Anmian, PC6 (Neiguan), Yintang, KI3 (Taixi), SP6 (Sanyinjiao)",Suan Zao Ren Tang (insomnia from Heart-Blood deficiency) | Tian Wang Bu Xin Dan (Yin deficiency insomnia) | Gui Pi Tang (overthinking insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I want to improve my workspace ergonomics cheaply, what's most important?","Raise your monitor to eye level (use books), support lower back with a cushion, and keep feet flat on floor.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I experience zoom fatigue, what helps between meetings?","Turn off self-view, hide non-essential video, take audio-only breaks, look away from screen, and schedule shorter meetings.","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), BL20 (Pishu), BL23 (Shenshu), GV20 (Baihui)",Bu Zhong Yi Qi Tang (Qi deficiency fatigue) | Gui Pi Tang (overthinking/overwork) | Shi Quan Da Bu Tang (Qi-Blood deficiency),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When workplace noise distracts me, what can I do?","Use noise-canceling headphones, try brown/white noise, find quiet zones, or communicate boundary times for focused work.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel socially drained from work interactions, how can I recharge?","Schedule solo lunch breaks, take quiet walks, limit after-work socializing when tired, and honor your need for alone time.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I procrastinate due to work anxiety, what technique helps?","Use the 2-minute rule: if it takes less than 2 minutes, do it now; break larger tasks into tiny first steps.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When my energy dips in the afternoon, what's better than coffee?","Try green tea, a 10-minute walk, cold water on face/wrists, protein snack, or a power nap if possible.","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I want to build resilience to workplace stress, what daily habit helps most?","Establish a consistent morning routine that includes movement, mindfulness, and nourishing food before starting work.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I notice early burnout signs, what recovery plan should I make?","Assess workload boundaries, schedule rest days, seek professional help, delegate tasks, and communicate needs to management.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",Bu Zhong Yi Qi Tang (severe Qi deficiency) | Shi Quan Da Bu Tang (Qi-Blood exhaustion) | Gui Pi Tang (mental exhaustion),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I want to maintain work-life balance long-term, what principle should I follow?","Treat personal time as non-negotiable appointments, protect boundaries consistently, and regularly reassess what truly matters.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When stress manifests physically, what signs should I not ignore?","Chronic headaches, digestive issues, chest pain, insomnia, constant fatigue—seek medical evaluation and address root causes.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I want to support colleagues with stress, what's most helpful?","Listen without judgment, share resources, model healthy boundaries, check in regularly, and encourage professional support when needed.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
