Question_ID,Question,Answer,Acupuncture_Points,Pharmacopeia_Formula
Q069,What lifestyle modifications are recommended for 湿热质 (Shi Re) constitution?,"Avoid alcohol and spicy foods, eat cooling foods, maintain good hygiene, avoid hot humid environments","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q070,What lifestyle modifications are recommended for 血瘀质 (Xue Yu) constitution?,"Exercise regularly to promote circulation, avoid cold exposure, consume foods that move blood","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q071,What lifestyle modifications are recommended for 气郁质 (Qi Yu) constitution?,"Practice stress reduction, engage in social activities, exercise to move qi, avoid overthinking","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q072,What lifestyle modifications are recommended for 特禀质 (Te Bing) constitution?,"Identify and avoid allergens, strengthen defensive qi, maintain clean environment, boost immunity","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q073,What dietary recommendations support 平和质 (Ping He) constitution?,"Balanced diet with variety of foods, seasonal eating, moderation in all things","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q074,What dietary recommendations support 气虚质 (Qi Xu) constitution?,"Sweet potato, rice, chicken, mushrooms, dates, avoid raw cold foods","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q075,What dietary recommendations support 阳虚质 (Yang Xu) constitution?,"Lamb, ginger, cinnamon, walnuts, avoid iced drinks and raw foods","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q076,What dietary recommendations support 阴虚质 (Yin Xu) constitution?,"Pear, lily bulb, tremella, duck, spinach, avoid spicy warming foods","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q077,What dietary recommendations support 痰湿质 (Tan Shi) constitution?,"Job's tears, winter melon, kelp, radish, avoid greasy sweet foods","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
Q078,What dietary recommendations support 湿热质 (Shi Re) constitution?,"Mung beans, cucumber, watermelon, bitter melon, avoid alcohol and fried foods","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q079,What dietary recommendations support 血瘀质 (Xue Yu) constitution?,"Hawthorn, peach, eggplant, vinegar, turmeric, avoid fatty cold foods","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q080,What dietary recommendations support 气郁质 (Qi Yu) constitution?,"Citrus, rose tea, wheat, mushrooms, avoid heavy difficult-to-digest foods","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q081,What dietary recommendations support 特禀质 (Te Bing) constitution?,"Variety of hypoallergenic foods, dates, ganoderma, avoid known allergens","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q082,How do you combine acupuncture and herbal medicine for 平和质 (Ping He) constitution?,"Integrate acupuncture at ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu) with Generally no intervention needed; seasonal health maintenance formulas if needed, adjusting treatment based on seasonal factors and individual presentation.","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q083,How do you combine acupuncture and herbal medicine for 气虚质 (Qi Xu) constitution?,"Integrate acupuncture at ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan) with Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi), adjusting treatment based on seasonal factors and individual presentation.","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q084,How do you combine acupuncture and herbal medicine for 阳虚质 (Yang Xu) constitution?,"Integrate acupuncture at GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi) with Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill), adjusting treatment based on seasonal factors and individual presentation.","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q085,How do you combine acupuncture and herbal medicine for 阴虚质 (Yin Xu) constitution?,"Integrate acupuncture at KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan) with Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill), adjusting treatment based on seasonal factors and individual presentation.","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q086,How do you combine acupuncture and herbal medicine for 痰湿质 (Tan Shi) constitution?,"Integrate acupuncture at ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao) with Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction), adjusting treatment based on seasonal factors and individual presentation.","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
Q087,How do you combine acupuncture and herbal medicine for 湿热质 (Shi Re) constitution?,"Integrate acupuncture at SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong) with Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction), adjusting treatment based on seasonal factors and individual presentation.","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q088,How do you combine acupuncture and herbal medicine for 血瘀质 (Xue Yu) constitution?,"Integrate acupuncture at SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao) with Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance), adjusting treatment based on seasonal factors and individual presentation.","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q089,How do you combine acupuncture and herbal medicine for 气郁质 (Qi Yu) constitution?,"Integrate acupuncture at LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu) with Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder), adjusting treatment based on seasonal factors and individual presentation.","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q090,How do you combine acupuncture and herbal medicine for 特禀质 (Te Bing) constitution?,"Integrate acupuncture at LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui) with Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon), adjusting treatment based on seasonal factors and individual presentation.","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q091,What is the difference between 气虚质 (Qi Xu) and 阳虚质 (Yang Xu) constitutions?,"Qi Xu shows fatigue and weak immunity without temperature issues, while Yang Xu includes cold intolerance and cold extremities due to yang deficiency.","ST36 (Zusanli), CV6 (Qihai), GV4 (Mingmen), BL23 (Shenshu)",Qi Xu: Si Jun Zi Tang; Yang Xu: Jin Gui Shen Qi Wan
Q092,How do you differentiate 阴虚质 (Yin Xu) from 湿热质 (Shi Re) when both present with heat signs?,"Yin Xu shows deficiency heat (night sweats, dry heat, red tongue with no coating) while Shi Re shows excess heat (oily skin, yellow greasy coating, damp signs).","KI3 (Taixi), SP6 (Sanyinjiao), SP9 (Yinlingquan), LI11 (Quchi)",Yin Xu: Liu Wei Di Huang Wan; Shi Re: Long Dan Xie Gan Tang
Q093,Can a patient have mixed constitutional types? How do you treat this?,"Yes, patients commonly have 1-2 secondary constitutions. Prioritize treating the dominant constitution first, then address secondary patterns with modified formulas and combined point prescriptions.","Select primary points for dominant constitution, add supporting points for secondary",Modify classical formulas or combine compatible formulas
Q094,What tongue diagnosis findings confirm 痰湿质 (Tan Shi) constitution?,"Enlarged pale tongue with thick greasy white or yellow coating, often with teeth marks on the sides indicating spleen qi deficiency with dampness accumulation.","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan)",Er Chen Tang (Two Aged Decoction)
Q095,Which constitution is most prone to cardiovascular disease?,"血瘀质 (Blood Stasis) constitution has highest risk due to poor circulation, blood stagnation, and tendency toward thrombosis and atherosclerosis.","SP10 (Xuehai), BL17 (Geshu), PC6 (Neiguan)",Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion)
Q096,How does seasonal variation affect 阳虚质 (Yang Xu) constitution treatment?,Yang Xu worsens in winter requiring stronger warming therapy. Summer is optimal for yang-tonifying treatments using 'treat winter diseases in summer' principle with moxibustion.,"GV4 (Mingmen), CV4 (Guanyuan), ST36 (Zusanli), use moxa extensively",You Gui Wan in winter; lighter yang tonics in summer
Q097,What pulse qualities indicate 气郁质 (Qi Yu) constitution?,"Wiry (xian) pulse, especially in liver position, indicating qi stagnation. May also present as tight or uneven pulse depending on severity and location of stagnation.","LR3 (Taichong), PC6 (Neiguan), CV17 (Shanzhong)",Xiao Yao San (Free and Easy Wanderer)
Q098,Which acupoint is universally beneficial for all nine constitutions?,"ST36 (Zusanli) benefits all constitutions as it tonifies qi and blood, strengthens spleen and stomach, and regulates overall body function regardless of constitutional type.",ST36 (Zusanli),Varies by constitution
Q099,How do you assess constitutional type in children versus adults?,"Children's constitutions are less fixed and more influenced by acquired factors. Focus on spleen-stomach function, growth patterns, and inherited tendencies rather than complex pattern differentiation.","ST36 (Zusanli), CV12 (Zhongwan), SP6 (Sanyinjiao)","Gentler formulas with reduced dosages, focus on digestive health"
Q100,What is the treatment priority when 特禀质 (Te Bing) constitution presents with acute allergic reaction?,"First address acute symptoms with immediate antihistamine points like LI4, LI11, and GV14. Then strengthen defensive qi long-term to prevent recurrence.","Acute: LI4 (Hegu), LI11 (Quchi), GV14 (Dazhui); Preventive: ST36, LU7",Acute: Xiao Qing Long Tang; Preventive: Yu Ping Feng San
