Formula Name,Q&A (Questions and Answers),TCM Trigger Acupuncture Points,Pharmacopeia
Xiao Qing Long Tang (Minor Bluegreen Dragon Decoction),"Q: What syndrome does this treat? A: External Cold with internal thin-fluids causing cough with copious watery sputum, wheezing, no sweating. Q: What does it do? A: Releases exterior, transforms thin-fluids, warms Lungs, stops cough.","LU7, LI4, BL13, ST40, CV17, LU5","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xing Su San (Apricot Kernel and Perilla Leaf Powder),"Q: What does this treat? A: External Wind-Cold with internal phlegm-Dampness causing cough, chest oppression, sticky sputum. Q: What is the mechanism? A: Releases exterior, transforms phlegm-Dampness, stops cough.","LU7, LI4, ST40, BL13, CV17, LU1","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Zhi Sou San (Stop Cough Powder),"Q: What pattern is indicated? A: Wind attacking Lungs with cough, itchy throat, thin white or yellow sputum. Q: What does it do? A: Stops cough, transforms phlegm, releases exterior pathogen.","LU7, LU5, LI4, BL13, CV17, ST40","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Zhi Ke Chuan Oral Liquid (Stop Cough and Asthma Oral Liquid),"Q: What is this modern formula for? A: Chronic cough and asthma with phlegm, convenient liquid form for quick relief. Q: What is the advantage? A: Modern extraction method, liquid form absorbs quickly, patent medicine.","LU5, LU7, CV17, ST40, BL13, KI3",Modern Chinese Patent Medicine Formulary
Bei Mu Gua Lou San (Fritillaria and Trichosanthes Fruit Powder),"Q: What syndrome does this address? A: Dryness damaging Lungs with dry cough, scanty sticky sputum, dry throat, thirst. Q: What is the mechanism? A: Clears Lung Heat, moistens Lungs, transforms phlegm, stops cough.","LU5, LU9, KI6, ST40, LU1, CV17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
"Ling Gan Wu Wei Jiang Xin Tang (Poria, Licorice, Schisandra, Ginger, and Asarum Decoction)","Q: What condition does this treat? A: Cold-phlegm in Lungs with cough, copious white watery sputum, cold sensation in chest. Q: What does it do? A: Warms Lungs, transforms cold-phlegm, stops cough.","LU5, CV17, ST40, BL13, CV6, LU9","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Qing Zao Jiu Fei Tang (Eliminate Dryness and Rescue the Lungs Decoction),"Q: What pattern is this for? A: Warm-Dryness damaging Lungs with dry cough, no sputum or blood-streaked sputum, dry nose and throat. Q: What is the action? A: Clears Dryness, moistens Lungs, nourishes Yin, generates fluids.","LU5, LU9, LU10, KI6, CV17, LU1","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Sha Shen Mai Dong Tang (Glehnia and Ophiopogonis Decoction),"Q: What syndrome does this treat? A: Lung and Stomach Yin deficiency with dry cough, dry throat, thirst, dry skin. Q: What does it do? A: Nourishes Lung and Stomach Yin, generates fluids, moistens Dryness.","LU5, LU9, ST36, KI6, CV12, LU1","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Bai He Gu Jin Tang (Lily Bulb Decoction to Preserve the Metal),"Q: What condition does this address? A: Lung and Kidney Yin deficiency with chronic cough, sore throat, blood-streaked sputum, night sweats. Q: What is the mechanism? A: Nourishes Lung and Kidney Yin, stops cough, transforms phlegm, 'Metal' refers to Lungs.","LU5, LU9, KI6, BL13, BL23, CV17, KI3","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Yang Yin Qing Fei Tang (Nourish the Yin and Clear the Lungs Decoction),"Q: What pattern is indicated? A: Lung Yin deficiency with Heat toxin causing severe sore throat, diphtheria, dry cough. Q: What does it do? A: Nourishes Lung Yin, clears Heat, resolves toxicity, benefits throat.","LU5, LU10, KI6, LU11, CV22, LI4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Chuan Bei Pi Pa Lu (Fritillaria and Loquat Syrup),"Q: What is this popular patent medicine for? A: Lung Heat or Lung Yin deficiency cough with thick sputum, dry throat, convenient syrup form. Q: Why is it widely used? A: Pleasant-tasting syrup, immediate throat relief, good for adults and children.","LU5, LU9, CV17, ST40, LU10, KI6",Modern Chinese Patent Medicine Formulary
Qing Yin Wan (Clear the Voice Pill),"Q: What does this treat? A: Lung-Kidney Yin deficiency with hoarseness, chronic pharyngitis, dry throat, weak voice. Q: What is the action? A: Modern patent pill to nourish Yin, benefit throat, clear Heat, restore voice.","LU9, KI6, CV22, LU10, LU5, KI3",Modern Chinese Patent Medicine Formulary
Wu Mei Wan (Mume Pill),"Q: What syndrome does this address? A: Roundworm disorder with upper Heat and lower Cold causing abdominal pain, vomiting after eating, cold limbs. Q: What does it do? A: Warms organs, calms roundworms, clears Heat above, complex formula.","CV12, ST36, ST25, PC6, CV6, LR13","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Li Zhong Hua Tan Wan (Regulate the Middle and Transform Phlegm Pill),"Q: What pattern is this for? A: Spleen Yang deficiency with phlegm-Dampness causing poor appetite, loose stools, copious sputum. Q: What does it do? A: Warms Middle Jiao, transforms phlegm, strengthens Spleen, modern patent.","CV12, ST36, ST40, SP9, BL20, CV6",Modern Chinese Patent Medicine Formulary
