question,answer,acupuncture_points,pharmacopeia
How to treat pediatric trauma patients differently?,"Use gentler techniques, shorter retention, tonify spleen and kidney, protect yang qi, calm spirit.","ST-36 (Zusanli), LI-4 (Hegu), DU-12 (Shenzhu), pediatric massage points, shallow needling",Xiao Er Zhi Bao Dan (Precious Infantile Treasure Pill) - adjust dose
What modifications for elderly trauma patients?,"Tonify qi and blood strongly, nourish kidney essence, gentle invigoration, prevent complications.","ST-36 (Zusanli), BL-23 (Shenshu), REN-4 (Guanyuan), KI-3 (Taixi), BL-20 (Pishu)",Shi Quan Da Bu Tang (All-Inclusive Great Tonifying Decoction)
How to address multiple system organ failure?,"Support yuan qi urgently, tonify spleen and kidney, invigorate blood, clear heat toxins.","REN-4 (Guanyuan), ST-36 (Zusanli), BL-23 (Shenshu), PC-6 (Neiguan), DU-4 (Mingmen)",Shen Fu Tang (Ginseng and Aconite Decoction) for yang collapse emergency
What is the treatment for sepsis from infected wounds?,"Clear heat and fire toxins strongly, support zheng qi, invigorate blood, drain dampness.","LI-11 (Quchi), DU-14 (Dazhui), ST-36 (Zusanli), SP-9 (Yinlingquan), LI-4 (Hegu)",Huang Lian Jie Du Tang (Coptis Decoction to Resolve Toxicity)
How to prevent and treat DVT in immobilized patients?,"Invigorate blood strongly, move qi, warm yang, resolve dampness, open channels in legs.","SP-10 (Xuehai), SP-6 (Sanyinjiao), ST-36 (Zusanli), LV-3 (Taichong), GB-34 (Yanglingquan)",Huo Xue Tong Luo (Invigorate Blood and Open Channels) formula
What is the long-term protocol for chronic pain management?,"Regular treatments to invigorate blood, tonify deficiency, regulate liver and kidney, maintain channels.","LI-4 (Hegu), LV-3 (Taichong), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), rotate with local",Shen Tong Zhu Yu Tang (Drive Out Blood Stasis from a Painful Body) - long-term modified
How to maintain psychological stability long-term?,"Regular spirit calming, nourish heart blood, harmonize liver qi, tonify kidney, balance emotions.","HT-7 (Shenmen), PC-6 (Neiguan), LV-3 (Taichong), DU-20 (Baihui), Yintang",Xiao Yao San (Free and Easy Wanderer) for long-term emotional balance
What points prevent recurrent injuries?,"Tonify liver and kidney, strengthen sinews and bones, invigorate channels, balance muscles.","BL-23 (Shenshu), GB-34 (Yanglingquan), ST-36 (Zusanli), LV-8 (Ququan), BL-11 (Dazhu)",Du Huo Ji Sheng Tang (Angelica Pubescens and Loranthus Decoction) prevention dose
How to support ongoing rehabilitation exercises?,"Tonify qi and blood to support effort, invigorate channels, relax sinews, prevent fatigue.","ST-36 (Zusanli), GB-34 (Yanglingquan), LI-4 (Hegu), SP-6 (Sanyinjiao), local support",Bu Yang Huan Wu Tang (Tonify the Yang to Restore Five) - maintenance dose
What is the constitutional treatment for trauma survivors?,"Identify pattern, tonify root deficiency, clear residual pathogens, harmonize whole system long-term.","Based on pattern: ST-36, SP-6, BL-23, LV-3, HT-7, DU-20 commonly used",Ba Zhen Tang (Eight-Treasure) or Shi Quan Da Bu Tang (Ten-Complete) as foundation
