Question,Answer,Acupuncture_Points,Pharmacopeia
3. הסתבכויות שמקורן בSP YANG XU או HT YANG XU או LU QI XU שמובילים למצב שהיאנג של הכליות נחלש וישנה הצפה של נוזלים.,"* הסימפטומים - בצקות בפלג גוף תחתון, הצטברות של נוזלים בחלק גוף תחתון מהגפיים ולאט יעלו למעלה כי אין יאנג, תנועה והנוזלים מצטברים ומתחילים להרגיש תחושה של חנק. זה בעיקר באזור האגן ומתחתיו. הנוזלים הם כבדים ונטייתם לשקוע כלפי מטה אך הם מרמים כי אין תנועה אלא הצטברות. - תהיה תחושה של קור בגב התחתון וגם בירכיים, נפיחות בבטן מנוזלים. הפנים יהיו לבנבנות ואפרפרות. * הלשון תהיה נפוחה מנוזלים, כבדה, נפולה, רטובה, חיפוי לבן. * הדופק יהיה עמוק, איטי, כבד, חלש, אולי נטייה למתגלגל. - הסיבוכים: המים עולים על גדותם והכליות יכולות לפגוע בלב דרך מעגל הבקרה ודרך השכבה שאו יין. הלב חייב את הFIRE ואת התנועה אך עם הכליות יכבו זאת הלב יחלש. - יותר מדי מים בכליות יתחיל לעשות REVERSE SHENG לכיוון הריאות. - לשבוע הבא עיקרון טיפולי ונקודות בחסות ליאת... שיעור 12 - 21.1.13 המשך סינדרום הצפת מים בכליות: עיקרון טיפולי - לנקז או להאדות, לשתן, לייבש את הנוזלים. עושים זאת על ידי חיזוק היאנג של הכליות ויאנג כללי. נקודות - BL 23 עם מוקסה, KID 2, KID 7, הנקודה BL 60, אפשר את CV 9, היא נקודה המאזנת את משק הנוזלים בגוף, SP 9 כנקודה הגורמת להשתנה, SP 6 עם מוקסה, SP 7 טובה להשתנה, TH 3 כפלג עץ וחיזוק יכולה להיות טובה, במידה ויש הרבה נוזלים אזי לא צריך ביחד עם TH 2, שילוב שבדרך כלל אנו עושים. BL 22 כנקודת אסוציאציה של הTH. * הכליות נותנות לי כוח רצון לבטא את רצון הלב. יש כאן קשר מנטלי, אנשים הנמצאים בפחד סובלים מחוסר היאנג של הכליות שלא מעלה אנרגיה כלפי מעלה. יש כאן קשר בין האמונה של הלב לכוח הרצון של הכליות. * סינדרום KID JING XU: - אחנו מדברים כאן על חסר של גינג בכליות. אטיולוגיה: - כאשר מדברים על חסר גינג מדברי","BL22, BL23, BL60, CV9, KID2, KID7, SP6, SP7, SP9, TH2, TH3",
"רשימת הסינדרומים של חסר - HT CHI XU, HT YANG XU, HT BLOOD XU, HT YIN XU.",* סוגי העודף: 1. ליחה ואש המפריעים לסדר הHT. 2. אש פורצת למעלה ללב. 3. ליחה קרה מערפלת את הHT. * שילוב של חסר ועודף - סטגנציה של דם בלב.,,
HT CHI XU,"אטיולוגיה - א. מחלה כרונית או ממושכת הגורמת להחלשה של הHT. ב. מאמץ יתר למשך זמן ארוך מחליש את הHT. הרבה ספורטאים בילדותם נהפכים לבעלי חולשה בלב. ג. מצבים נפשיים או אמוציונליים כגון: צער, יגון, כאב, מה שנקרא שיברון לב. אנשים שיש בהם יותר מדי שמחה או שמחה רגעית גדולה פתאום יכולים לקבל מכה לHT. הכוונה גם להתרגשות.",,
ה. LU CHI XU יכול לגרום לHT CHI XU.,"* תסמינים - של חסר צ'י כללי כמו חיוורון, עייפות, לאות, גפיים כבדות. יהיה לנו גם תסמינים של HT, בעיקר פלפיטציות, בעיקר בשעת מאמץ. בנוסף קוצר נשימה, עייפות כללית של כל הגוף. * הלשון - תהיה חיוורת, נפוחה וגדולה ונפולה. סביר להניח שגם אם סימני שיניים. * הדופק - מקוטע, לא אחיד וסביר, חלש ולא זורם. * הסיבוכים - זה יכול לגרום לCHI XU כללי בגוף, כמו כן לסטגנציות של צ'י שיכולות לגרום לסטגנציות של דם. * עיקרון טיפולי - לחזק את הHT, את הצ'י של הHT. * נקודות לדיקור - HT 7 נקודת אדמה ויואן אך גם נקודת פיזור, לא בטוח שנרצה להשתמש בה. הנקודה HT 9 כנקודת חיזוק ועץ יכול להיות שתהיה בומבסטית מדי, זה יכול לתת זעזוע פנימי, זה מהלומה של יאנג. לא בטוח שדרך יאנג שהולם בך נכון לחזק HT CHI XU. יש לנו את HT 5 כנקודת חיבור היכולה להיות טובה עם SI 4. הנקודה HT 6 יכולה להיות טובה. הנקודות של KID 22-25 מדברות הרבה על הSHEN, יש להם השפעה מנטלית מאוד גדולה. יש אנשים הסובלים מHT CHI XU שאין חיבור בין הגוף לSHEN. אצל אישה המחזור הוא חיבור בינה לבין הגוף שלהן. שיעור 13 - 28.1.13 - עם הנקודה HT 7 צריך להיזהר, כי זה REVERSE SHENG, נקודת אדמה. *נקודת חיזוק היא נקודת האמא של האלמנט הטבעי של המרידיאן. על מרידיאן HT הנקודה HT 9 היא נקודת באר עץ, נקודת חיזוק. * נקודת פיזור היא נקודת ה""בן"" של האלמנט הטבעי של המרידיאן. הנקודה  HT 7 היא נקודת אדמה. אנו לא נשתמש הרבה בנקודת פיזור כי נפזר כך את האנרגיה של הזרימה הטבעית של האלמנטים. * אנו הרבה פעמים נרצה לתמוך בHT או דרך LU כשילוב במחמם לתמיכה בצ'י, או דרך KID כשיתוף בשכבה, או בPC כשיתוף באלמנט. גם בשיתוף LIV כתנועה של האלמנטים יכולה להיות תוכנית טיפול.","HT5, HT6, HT7, HT9, KID22, SI4",
"3. KID YANG XU שגורם לHT YANG XU, היאנג של הכליות מזין את היאנג של הטחול שמזין את היאנג של הלב.","4. פעילות פיזית ממושכת, עבודה קשה, מאמץ והתשה של הגוף. אנחנו חיים בעידן שבו אין באלאנס, הכל מואץ. סימפטומים * דומים לHT QI XU אך מאחר ומדובר בHT YANG XU יתחילו תסמינים של קור, יהיה לנו קור בכפות הידיים והרגליים, תחושה של מלאות כי יש לי סטגנציה, דברים לא זזים, אין את היאנג שיניע את הדם. יתווסף לזה כאב שקיים בכל אזור בית החזה, זה כאב של עודף, כבדות. יכול להיות מצב של קוצר נשימה, בעצם היאנג נחלש ביכולת שלו להניע דברים בתוך הגוף. * לשון - תהיה נפוחה, מלאה בנוזלים, נפולה, עם סימני שיניים. * דופק - יהיה חלש, אין את היאנג שיתן את העוצמה, עמוק כי אין את היאנג שיעלה כלפי מעלה.",,
כאשר יש לי HT YANG XU יש סיכוי גדול מאוד שתיהיה הסתבכות לKID YANG XU. או שזה יהיה המקור או שזה יהיה הסיבוך. יאנג שו של הכליות יכול להיות המקור או הסיבוך.,"* עיקרון טיפולי - לחזק את היאנג של הלב, את היאנג הכללי. * נקודות לדיקור - HT 9 תתן בוסט אנרגטי, יש את הנקודה הנקראת ה""בלדר המתווך"", הכוונה לPC 5, היא נקודת מפגש של HT-PC-LU. היא יושבת בשכבה המתווכת בין הטאי יין לשאו יין. הPC יושבת בשכבת גאו יין יחד עם LIV. ה""בלדר המתווך"" זה רעיון שאני יכול ליצור את הקשר בין השכבה העמוקה לחיצונית. יכולת התיווך ניתנת לאנשים שיש להם רהיטות וורבלית, יכולת שכנוע. להיות מתווך הינה מיומנות. שכבת הגאו יין עשירה בדם והכבד הוא בעל גמישות של העץ, יכולת להתעגל ולזרום היכן שצריך ולהכיל דברים שהם פחות טובים. יכולת ההכלה היא באנרגיה העמוקה של האדמה שלהם. - הנקודה PC 5 היא מפגש של שלושת היינים, היא יוצרת מתוך מקסימום יין את היאנג. הנקודה GB 39 הנקראת פעמון תלוי משפיעה על הגינג מתוך היאנג שלה. הפוטנציאל של הגינג הוא הרבה יותר גדול אצל ילדים והסינים היו קושרים אצל ילדים פעמון באזור הנקודה. - נקודות BL 14,15 הן טובות, KID 7 כנהר מתכת מחזקת את היאנג של הכליות. הנקודה KID 2 מחזקת את היאנג דרך היותה נקודת אש.","BL14, GB39, HT9, KID2, KID7, PC5",
"סימפטומים: זהו מצב שבו האדם סובל מיאנג שו כללי ולכן נבחין בתסמינים זהים או דומים לHT QI XU או HT YANG XU. התסמינים המובילים יהיו 4 גפיים קרות משום שהיאנג מובס, צואה מאוד מיימית עם אוכל לא מעוכל, אין יאנג ויכולת לפרק. בנוסף נראה מצבים של התעלפויות.","המצב במקרה הזה יכול להסתבך מאחר והאדם יזיע כל הזמן. הנקבוביות פתוחות כי אין יאנג והאדם מאבד נוזלים. מצד שני חוסר היאנג גם פוגע בטחול ולא מאפשר לו להעלות אנרגיה למעלה אלא רק להוריד, מה שיתבטא בשלשולים רבים. במצב זה נוזלי הגוף בגוף נחלשים ויכולה להיות הפחתה של יין ודם בגוף. * עיקרון טיפולי - לתפוס מחדש את היאנג, לעגן אותו, לחזק אותו וכמובן נפנה לאנרגיות עמוקות מאוד בגוף. * נקודות לדיקור - מוקסה על CV 8. חשוב לבנות FIRE ואש ויאנג במרכז הגוף. מחט ומוקסה על CV 4,6. לתת בוסט של יאנג מHT 9. כאשר בן אדם פתאום מתעלף או נמצא באובדן יאנג פתאומי לוחצים ונושכים את HT 9 וכן עיסוי קצה האף כי היא מאוד מעוררת. גם משתמשים בGV 26. בנוסף עיסוי מהיר על CO4 המכניסה במצבים הללו המון יאנג לגוף. ב. היין מתפתח וצומח מלמטה ודוחף את היאנג למעלה - זהו מצב מאוד טריקי בגוף אצל האדם כי היין מתפתח מלמטה, אז נוצרות בצקות, מיימת, אין יאנג ואז בעצם היאנג נדחק יותר ויותר למעלה ואז מקבלים את התחושה כאילו לאדם יש יאנג, הוא חיוני, זהו אשלייה. קיימת הרגשה של הרבה יאנג אך הוא מאוד חלש והיין מתגנב מלמטה מה שמעניק הרגשה של עודף יאנג. בפועל המצב הוא של קור, של ייניות כיוון שהיין מתגבר והיאנג מובס. יש לנו כאן תהליך של הפרדה בין יין לבין יאנג. לאט לאט היין דוחף את היאנג מתוך הגוף החוצה. תסמינים - האדם מרגיש כביכול חם, היאנג הסופי נותן הרגשה של חום, צמאון אבל לא רוצים לשתות כיוון שכל הגוף מלא נוזלים. הפנים אדמדמות, סמוקות אבל בחלק התחתון ישנם שלשולים קרים, מימיים, עם מזון לא מעוכל. תהיה השתנה מרובה ותהיינה בצקות. ההסתבכות יכולה להיות של מוות. * עיקרון טיפולי - לבנות ולחזק את היאנג, להעצים אותו בגוף, לעשות שימוש רב במוקסה. ","CO4, CV4, CV8, HT9",
"אטיולוגיה - בדיוק כמו של HT, LU, SP QI XU.","תסמינים - יהיו פלפיטציות כי אין יאנג שמסדיר את קצב הלב. יהיה קוצר נשימה, יהיו סחרחורות, תהיה התנפחות של הבטן התחתונה ואז לאט לאט זה עולה (התנפחות מנוזלים), יהיו הקאות של נוזלים, תחושה של חנק בבית החזה ויהיה שיעול פרודוקטיבי שיוצר ליחה מימית ולבנה שמקורה בטחול ושהגיעה אל הריאות. * לשון - תהיה נפוחה, חיוורת ויהיה עליה חיפוי לבן. * דופק - יהיה עמוק בגלל החסר של היאנג ויהיה מתגלגל בגלל הליחה. * ההסתבכויות הן בעיקר שהליחה עלולה להמשיך ולהיווצר, היא תתמקד בחזה ובתוך הלב ותגרום לסטגנציה בסירקולצייה של הצ'י והדם. זה מה שיכול להוביל לתחושות הכאב בחזה שמקרינות אל היד. * העיקרון הטיפולי - לחזק את היאנג הכללי, לעבוד על הT AND T של הטחול, לחזק את היאנג של הלב.",,
* אטיולוגיה - של HT YANG XU וKID YANG XU.,"* תסמינים - פלפיטציות, קוצר נשימה והרגשה של קור, הרבה השתנה, בצקות בקרסוליים וכפות הרגליים. יהיו שלשולים קרים. צואה מימית, כאבי גב, ברכיים, אימפוטנציה. גם הFIRE של הכליות וגם של הלב לא נמצא. השכבה שאו יין נטולת יאנג. * עיקרון טיפולי - לתמוך ביאנג ולשתן, להוציא כמה שיותר נוזלים.",,
HT BLOOD XU,"הדם והיין הכרחיים ללב על מנת לשמר את יכולות האחסנה של הSHEN. האיזון של שניהם מאוד חשוב. כל מה שגורם להפחתה של נוזלי גוף, להפחתה של דם או להפחתה של יין יוציא מאיזון את רמת הדם והיין בלב וזה יגרום לבעיות של SHEN. * אטיולוגיה: 1. איבוד דם מתאונה בעקבות טראומה, דימום, לידות רבות, דימומים ווסתיים כבדים, כל גורם נוסף לאיבוד דם.",,
2. במצב של SP QI XU יש לנו כשל ביצור של דם. כאשר למדנו שSP QI XU יכול להיגרם על ידי דיאטה לא נכונה שתגרום לירידה ברמה הכללית של דם בגוף.,"3. מחלה ממושכת, חמה שפוגעת בנוזלים בגוף, בJIN/YE. 4. מערך רגשי של פחדים, חרדות, דאגות שפוגעות בלב ופוגעות באיזון בתוך הלב, מה שיעורר פגיעה בSHEN ויפגע בתפקודי הלב, יפגע בוויסות של הדם בכל הגוף.",,
"5. HT BLOOD XU יכול להיגרם מLIV YIN XU, LIV BLOOD XU, זה בגלל שהכבד מזין את הלב.","* סימפטומים: 1. בעיות שינה. אנו רואים שישנה פגיעה באיכות היינית או תחילתה של דעיכה או שחיקת היין בלב מה שלא מאפשר לSHEN להרגיש בטוחה או במצב נינוח ואז מתחילות בעיות שינה. מאחר והאדם אינו ישן בלילה הוא יקום עייף, יהיו לו חלומות מאוד מציאותיים, הוא למעשה ממשיך את החיים בלילה. בגלל שהוא קם עייף הוא יהיה חסר מנוחה, קפיצי, כל דבר מרגיז אותו, הריכוזיות תפגע, גם הזיכרון, יהיה חיוור, יסבול מפלפיטציות. הוא ירגיש עייפות ומותשות, סחרחורות (אין מספיק דם), הדם נותן את השקט, מרכוז, ממלא ומזין, מרגיע ומעדן והוא בחסר. * לשון - חיוורת, מתחילה להיות יבשה כי היין מתמעט. * דופק - דק כי אין לי חומר, חלש כי אין את היין הנותן שפע ועוצמה, מקוטע כי אין זרימה הרמונית כיוון שהלב בחסר של דם. * עיקרון טיפולי - לחזק את הדם ולהרגיע את הSHEN. * נקודות דיקור - ST 37, 39 בונות דם, SI 4 בונה דם, SP 4 גם יכולה להיות טובה, BL 11 גם כן בונה דם, CV 14,15 , הנקודה PC 6 טובה, CV 4, SP 10. במידה ויש דימומים הגורמים לנו לחסר דם אפשר את SP 1 במוקסה, היא עוצרת דימומים. * הימות בגוף הן: ST, CO, SI, TH","BL11, CV14, CV4, PC6, SI4, SP1, SP10, SP4, ST37",
"1. החמרה של HT BLOOD XU או כתוצאה מKID YIN XU שגורם לHT YIN XU, אפשר לראות את זה דרך האלמנטים, דרך המחממים או דרך השכבה.","2. מחלה כרונית ממושכת, דלקת פרקים, דלקת ברחם, דלקות בשלפוחית השתן. כל מיני מחלות חמות. * סימפטומים: 1. השינה תהיה קטועה, סימסטר ב שיעור 14 - 4.3.13",,
"HT YIN XU - החמרה של HT BLOOD XU. יכול לבוא על רקע LIV BLOOD XU, יכול להופיע על רקע KID YIN XU, LIV YIN XU, גורם נוסף הוא מחלה כרונית ממושכת, כגון דלקת פרקים.","* גורם נוסף הנו מצב אמוציונלי כמו חרדות, כעס, תסכול, עצבות שיוצר סטגנציה, היוצרת חום ומעיבה על כל מערך הYIN בגוף. כאשר יש לנו HT YIN XU התסמין העיקרי הנו שינה לא טובה, אנשים קמים הרבה פעמים במהלך הלילה וכן הם חולמים הרבה חלומות שהינם מאוד אמיתיים. יש לנו פלפיטציות, אין את הכוח הייני שממתן, מרגיע, יש דפיקות לב מואצות, לא מוסדרות, ללא קשר למאמץ. ככל שאנו מתבגרים אז רמת המודעות גדלה ואז אנשים מתארים את דפיקות הלב כהתקפי חרדה, התקפים פתאומיים אמוציונליים. המודעות להתקפי לב בגיל צעיר מכניסה מרכיב נוסף של פאניקה. זהו התקף חרדה וכמות האנשים הסובלים התקפים כאלו גדלה. * יש הרבה חוסר שקט, חוסר רגיעה וסובלנות, הרבה מתח פנימי, הSHEN שלנו אוהבת רגיעה, אין לנו את היין של הלילה שמרגיע אותנו. במשך היום האנשים הללו עצבניים, מתוחים, הם לא ישנו מספיק. יש סימפטום של 5 המרכזים (בית החזה, ידיים ורגליים), בסימפטום יש זיעה וחום, תחושת בערה. אנשים המגיעים לגיל המעבר, היחלשות הKID משפיע על הHT. * אנו נפגוש ילדים הסובלים מHT YIN XU, אלו ילדים היפראקטיביים, אינם מסוגלים לשבת יותר מדי, חולמים הרבה חלומות בלילה, נמצאים על הקצה, הרבה ביטחון ועוצמה אל מול בכי פתאומי, חשיפה של הSHEN, אין קליפה. בגלל שהם YIN XU הם מאוד מוחצנים, יש להם ביטחון. * בנוסף יש יובש בגרון, בפה * תמונת הלשון - הTIP של הלשון יהיה מאוד אדום, הלשון תהיה אדומה, יבשה, היא יכולה להיות מחורצת עד הקצה. * דופק - יהיה מהיר, אין יין שמרגיע, הוא יהיה שטחי, דק (אין חומר, יין).",,
ב. HT FIRE.,"ג. יאנג שו כללי. * העיקרון הטיפולי - HT 6, נק' ההצטברות שמכניסה רגיעה, היא מכניסה יין כי המצבור של הלב חייב להיות ייני. התפקיד של הנקודה הוא להיות מחסן ייני כי זה הצורך של הלב. הנק' PC 6 היא מסטר של YIN WEI, היא מעולה לצרבות, בחילה והקאה (זה כשיש צ'י מורד), KID 10, SP 6 SP 4, GB 25, נק' ST 41 הערת שוליים: * נקודות נהר מעצימות את האלמנט הטבעי של המרידיאן, זה כי נקודות הנהר במרידיאנים היינים הן אלמנט מתכת, נקודות הנהר במרידיאנים היאנגיים הם אש. * בקיבה מתחילה תהליך הבישול, האדים של המזון מתחילים לעלות למעלה לכיוון הריאות שכמקור מים עליון מוריד למטה גשם ומזין KID YIN. * יש 2 נקודות נהר חיזוק שבסופו של דבר מחזקות את KID YIN, אחת היא ST41, השניה KID 7. יש לי מנגנון פנימי שכל הזמן דואג לחזק את המקור והבסיס.","GB25, HT6, KID10, KID7, PC6, SP4, SP6, ST41",
עלייה של אש ללב - HT FIRE BLAZING IN HT,"אטיולוגיה: א. אמוציונלית - האדם אמוציונלית תקוע, טעון, עצור, מתחילה התחממות פנימית, ב. דיאטה לא נכונה של מזון חם מטובל, מטוגן, חריף. תבלינים יוצרים מיסוך על הטעם הטבעי של אוכל. כשיש ערבוב גדוש של טעמים, ארומות, מתחיל בלבול. תבלינים נועדו בעבר לשמר מזון מפני ריקבון או לטשטש את טעם הריקבון. הרעיון של התיבול היה משמעותי לטשטוש הטעם של הבשר, עוף. כשמעמיסים לקיבה מעבר לכמות המזון העמסה של תיבול/טעמים בסופו של דבר זה גוזל אנרגיה מהגוף בגלל העבודה של לקיחת הטעמים לעשיית סדר של חיזוק מהמרכז. * אנו אוכלים מזון הרחוק מהטעם האוטנטי של המזון, התיבול מכניס המון חום למערכת העיכול, מכניסים אלכוהול בשתייה. ג. תנאי עבודה עם תנאים חיצוניים חמים - מאפייה, מסגרייה.",,
ד. הסתבכות של HT YIN XU.,"תסמינים: א. בעיות של SHEN - חוסר שקט, עיניים לא רגועות (SHEN משתקפת דרך העיניים), יהיו בעיות שינה, סיוטים, פנים אדומות, הפה יהיה יבש עם פצעים. ב. האדם יהיה עם צמא גדול. ג. שתן צהוב מרוכז. יתכן שיתלווה לשתן נימים קטנים של דם, פציעה בBL. * לשון - מאוד אדומה, מאוד יבשה. * דופק - מהיר בשל החום ומלא ברעיון של אש, מאוד מתפרץ. * העיקרון הטיפולי - לקרר את האש, להפחית את עוצמת האש, להרגיע ולתמוך בSHEN ולחזק את המים. נקודות - HT 8 בפיזור, HT 3 נקודת מים מחזקת HT YIN, הנקודה HT 7 טובה. המרידיאן ST הוא היחידי שיש לו נקודת חיבור אל הHT, הנקודה היא ST 40 . היא נותנת אדמה וויסות הטמפ' של הFIRE בלב כי היא שער הנוזלים של הגוף. LIV8 תחזק את האספקט הייני של הלב, CV 14 טובה, HT 6. ליחה חמה מסעירה ומטלטלת את הלב (סינדרום המאניה דיפרסיה) המצב הזה הנו מצב של עודף ליחה ועודף חום, הוא מוגדר כמצב של עודף. אטיולוגיה: א. דיכאון כרוני ממושך שגורם לסטגנציה ותקיעות, ערפול של אנרגיה בתוך הלב. הדיכאון הזה גורם לחום, לעלייה של חום. ב. לזה מתלווה התקפה של חיצונית או היווצרות של ליחה פנימית. ג. דיאטה גרועה, אוכלים אוכל גרוע. תזונה ירודה באיכות דלה של גאנק פוד, אוכל מזדמן, חטיפים. ד. אלכוהול. ה. עישון מכניס הרבה חום. ו. מנעד רגשי נכנס להיבט של תזונה. * הסינדרום מתחלק לשני סוגים: KUANG - אקטיבי, תהיה אינסומניה, פלפיטציות, הSHEN מוחצנת, האדם רגיש, העצבים חשופים, יהיה לו טעם מר בפה (טעם האש), הוא יהיה מפזור, מבולבל, לא מרוכז. הכל מוחצן וחשוף אצלו, יאנגי. ההתנהגות שלו תהיה מאוד מהירה, חדה, לא רגועה. התחושה היא שאי אפשר להשתלט עליו, אי אפשר לעצור, לא מרפה, נמצא באטרף, הרבה פעמים של קניות. האדם מדבר בלי סוף, ללא קשר, ","CV14, HT3, HT6, HT7, HT8, LIV8, ST40",
5.  	LIV FIRE BLAZING,"6.  	יותר מדי רוח משתוללת בכבד 7.  	סטגנציה של קור בתוך מרידיאן הכבד 8.  	לחות חמה בכיס מרה ובכבד כאשר אנחנו מדברים על הפתולוגיות של הLIV, הן יכולות להיות קשורות לזרימת הצ'י והתנועה בגוף. במצב שבו יש לנו חולשה של זרימת הצ'י נוצרת לנו סטגנציה של צ'י שמובילה לסטגנציה של דם שגורמת לבעיות סביב הווסת הנשית, בעיות רגשיות ובעיות עיכול. כאשר יש לנו בעיות או קשיים שLIV בהקשר של דם, אנו נבחין בבעיות הקשורות לעיניים כי העיניים הן הפתח של הכבד, ציפורניים כי הן התבטאות של הכבד, גידים ושרירים כי צריך להגיע דם לרמת הגידים והשרירים וכמובן בעיות סביב הווסת הנשית. כאשר מתחיל כשל ברמת היין של הכבד אנו נראה את הכבד מתחיל לאבד מיכולת הרגיעה שלו והוא מתחיל לאמץ דפוסים יותר יאנגים. אז נראה שהכבד מתחיל להיות חם יותר, FIRE יותר ויובש (הכבד צריך להיות עסיסי בגלל הדם). כאשר יש לנו רוח בכבד, אנחנו נראה שהרוח יכולה לנבוע על רקע חסר של דם או הרוח יכולה לנבוע על רקע עודף אמיתי של יאנג. כאשר יש כשל בתנועתיות של הכבד ובסירקולציית הצ'י שבכבד אנו נגלה סטגנציה ברמת המרידיאן של הכבד ואז יהיו לנו תסמינים לאורך המרידיאן באזור ההיפוכודריום או צידי הגוף. כאשר הLIV שלנו גורר כשל גם באלמנט האדמה אנו נבחין במצב של חום שמגיע מהכבד וDAMPNESS  שמגיעה מרמת האדמה. באופן כללי תסמינים הקשורים לLIV: א.      בעיות שינה – הכבד קשור לדם, בפתולוגיות נראה בעיות שינה. ב.      פלפיטציות – הכבד הוא המזין העיקרי של הלב. הוא מזין בXUE  ובאנרגיה עמוקה של אדמה, הוא עוטף את הלב. חוץ מהכבד, יש את הSI עם אנרגיה עמוקה של אדמה וכך גם הPC. הנקודה ששולחת ענף לאדמה היא ST 40. המשרה של אנרגיה עמוקה של אדמה קשורה לכך שלאן שהHT הולך יש לו שומרי ראש.",ST40,
LIV QI STG.,"כאשר אנו מדברים על סטגנציה של LIV QI  זה יכול להיות מצב כרוני או אקוטי. כאשר המצב האקוטי נוצר עקב אמוציה, רגש מסוים שגורם לתקיעה של האנרגיה. הרגש במקרה הזה הוא האטיולוגיה העיקרית לסטגנציה של צ'י של הכבד אולם אם זה כרוני זה יכול להופיע על רקע של חסר מנוחה כללי שגורם לחסר צ'י ואז אין צ'י שיניע. זה יכול להיגרם על ידי תזונה שיוצרת המון ליחה שתוקעת את האנרגיה ולא מאפשרת תנועה. זה יכול להיות על רקע תסכול ממושך, הדחקת כעס לאורך זמן רב. נורא קל לזהות סטגנציה של צ'י של הכבד- אנו נרגיש שבפנים של המטופל יש הר געש שיכול להתפוצץ כל רגע. הסטגנציה היא תסכול של הגוף, העץ רוצה להיפתח ולהתפרץ (אי אפשר להיות כל הזמן נחמד ושלו...), כך נוצר קונפליקט בגוף שמצד אחד רוצה לפרוץ ומצד שני מחזיק את עצמו. רואים את זה בדרך כלל בחריצים באזור העין השלישית. זה מתרחש יותר אצל נשים שהתפקיד שלהן כאדמה לעשות את הסטינג בבית. הם צריכות לעשות באלאנס רגשי. תסמינים: א.      אמוציונלים – יהיה קצת דיכאון וחוסר מנוחה. יש התרחשויות מתחת לשטח, הכבד שלי הוא בסטגנציה. ב.      מערכת העיכול – נמצא בעיות וחוסר עיכול, צרבות וזה בעיקר על רקע התקפת הכבד וכיס המרה את האדמה. תהיה נפיחות של הבטן ויהיה לנו ברור שהטחול והקיבה מעורבים, הם הותקפו על ידי העץ והם עייפים ולא מסוגלים להתחיל לעכל. דבר נוסף מאפיין שלשולים ועצירויות לסירוגין, התדר שמגיע מהכבד וכיס מרה למערכת העיכול ולמעי הדק והגס. התדר הלא רגוע, מתוסכל ועצבני היוצר חום. ג.       מחזור חודשי – לא סדיר, הדימום של הווסת יהיה קרישי עם דם כהה, הציצי יהיה נפוח וכאב למגע. בית החזה לא יהיה פתוח, הסגנציה עוברת ללב. ד.      אנשים שנאנחים – אחת הבעיות היא שאנשים מאמצים את זה כדפוס. זה בע",,
"תזונה - או SP/ST YANG XU או שהמחמם האמצעי אינו מקבל מזון כראוי, אין ממה לייצר דם ואנרגיה. האדם לא אוכל ולא מזין את עצמו כראוי- הגוף לא מייצר דם.","חוסר תפקוד של SP,ST,SI,CO. מערכת העיכול חלשה - האוכל הנו טוב אך האיברים לא מספיק חיוניים כדי לבנות מזה דם. דימומים, אם הם סמויים בקיבה, במעיים, טחורים מדממים, דימום בין מחזוריים, דימום וסתי ארוך, ווסת כל 16 יום, דימום מתאונה, איבוד דם אחרי לידה. גם מיומה או פוליפים ברחם יכולים להוביל לאיבוד דם. מחלות חמות - דלקת בפרקים, בקיבה, מחלת קרון. הדלקת היא בערה פנימית, זה מעיב על מערך היין בגוף. החום מאדה את הנוזלים, מייבש את הגוף. למשל דלקת ברחם שהיא סמויה בתקופה מסוימת (במיוחד בעייתי לגילוי אם היא בגיל המעבר), מערך הדם יכול להיפגע.",,
ב. LIV QI STG - מכניס את הכבד והעץ לתוך מקום מוגדר ואז הוא ממשיך לנוע והתנועה הזו יוצרת חום - זה יוצר LIV YANG RISING ( עולה האש בגוף שמכלה את הדם והיין) - החום מכלה את הדם,"* כשיש סטגנציה של הצ'י של הכבד זה לוקח מהמים. בKID YIN XU שכיח כאב גב תחתון. * כשיש הרבה יאנג למעלה אפשר להשתמש בנקודות אשנב לרקיע תסמינים: פגיעה בראייה - הכבד נפתח אל העיניים, הראייה תרד באיכותה, כתמים מול העיניים (עצמים צפים מול העיניים), ראייה מטושטשת. במקרים קיצוניים יותר העיניים יהיו יבשות כ אין הזנת דם לעיניים. בנוסף במקרים קיצוניים יכול להתפתח פוטופוביה (לא מסוגל לשאת יותר מדי אור). צבע פנים חיוור - אין חיות, אין דם, הדם נושא את הSHEN ונראה כאילו אין חיות בפנים. סחרחורות עקב חסר - אין דם, O2 שמגיע לראש, למוח השפעה על הגידים והשרירים - הם ייחלשו (לא מגיע אליהם דם), עוויתות בשרירים, יכולות להופיע תנועות בלתי רצוניות, שרירים שנתפסים פתאום. נוקשות של המפרקים בגוף כי אין הזנה של דם (צריכים את הדם בשביל להיות מוביליים) הציפורניים תהיינה שבירות, חיוורות, מתפצלות באישה דימום ווסתי דליל, בהיר וחלש, אחרי הדימום יש כאב ראש עמום, לא מוגדר הלשון - חיוורת (אין דם), יבשה ואולי קצת יתחילו להיות בה חריצים דופק - ריק, קצת חלול וקצת תילי אולי כי הכבד מתחיל להיות יאנגי, קפיצי כשאין לו דם ומתוח. סיבוכים:",,
א. הלב יפגע כי הכבד לא מזין אותו בדם - HT XUE XU,ב. רוח יכולה להתחיל ולתפוס את החלל שמותיר אחריו חסר הדם בכבד. חסר הדם מייצר ריק שיכולה לתפוס אותו רוח (יש סינדרום של רוח משתוללת בכבד) עיקרון טיפולי:,,
