question,answer,acupuncture_points,pharmacopeia
What helps patients who drink too much water and feel bloated?,"Spleen Yang Deficiency with Dampness and Qi Stagnation. Excessive water overwhelms spleen, creates dampness, dilutes qi. Warm spleen yang, resolve dampness, reduce water to appropriate amount.","ST-36 (Zusanli), SP-9 (Yinlingquan), REN-6 (Qihai), SP-6 (Sanyinjiao), LV-3 (Taichong), ST-28 (Shuidao)",Wu Ling San (Five-Ingredient Powder) plus reduce to appropriate amount
How to treat dehydration and dryness from inadequate water intake?,"Kidney Yin-Fluid Deficiency with Dryness. Inadequate water depletes kidney yin and body fluids. Nourish kidney yin, generate fluids, increase plain water intake gradually to adequate levels.","KI-3 (Taixi), KI-6 (Zhaohai), SP-6 (Sanyinjiao), REN-4 (Guanyuan), ST-36 (Zusanli), LU-7 (Lieque)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Zeng Ye Tang
What TCM treatment optimizes green tea consumption?,"Green tea clears heat, drains dampness, benefits liver. Drink moderate amounts, avoid late day if affects sleep, quality matters, avoid on empty stomach if cold.","LV-3 (Taichong), LV-14 (Qimen), SP-9 (Yinlingquan), GB-34 (Yanglingquan), ST-36 (Zusanli)","Moderate amounts green tea, high quality, avoid late day"
How does TCM address milk intolerance and phlegm production?,"Spleen Qi Deficiency with Damp-Phlegm from dairy. Tonify spleen, transform phlegm-damp, eliminate cow dairy, try plant alternatives or fermented dairy.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), LU-7 (Lieque), REN-12 (Zhongwan), SP-6 (Sanyinjiao)","Er Chen Tang (Two-Cured) plus Shen Ling Bai Zhu San, eliminate cow dairy"
What helps patients who drink smoothies as meal replacements?,"Spleen Yang Deficiency with Cold-Dampness. Cold smoothies damage spleen yang and bypass chewing. Warm spleen, resolve damp, make room temperature, chew solid foods instead.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-9 (Yinlingquan), REN-6 (Qihai), SP-6 (Sanyinjiao), DU-4 (Mingmen)","Li Zhong Wan (Regulate Middle) plus make room temperature, use whole foods"
How to treat digestive issues from herbal tea overconsumption?,"Varies by herb - some tonify, some clear, some cool, some warm. Consult TCM practitioner, match herbs to constitution, avoid excessive quantities.",Varies by herb type - consult for specific formula,Depends on specific herbs used in tea
What TCM approach helps transition from energy drinks?,"Kidney Essence Deficiency with Heart Yin Deficiency from stimulants. Tonify kidney essence, nourish heart yin, gradually eliminate energy drinks, restore natural energy.","KI-3 (Taixi), HT-7 (Shenmen), ST-36 (Zusanli), REN-6 (Qihai), BL-23 (Shenshu), BL-15 (Xinshu)",Ren Shen Yang Rong Tang (Ginseng Nourish Luxuriance) plus eliminate stimulants
How does TCM support bone broth consumption for healing?,"Bone broth tonifies kidney essence, nourishes blood and marrow, warms yang. Excellent for deficiency, recovery, elderly, add to regular diet.","KI-3 (Taixi), BL-23 (Shenshu), ST-36 (Zusanli), BL-17 (Geshu), REN-4 (Guanyuan), SP-6 (Sanyinjiao)",Bu Zhong Yi Qi Tang (Tonify Middle) plus bone broth regularly
What helps patients who never drink plain water?,"Kidney Yin-Fluid Deficiency. Need plain water for basic hydration and kidney nourishment. Nourish kidney, gradually transition to plain water, reduce other drinks.","KI-3 (Taixi), ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-4 (Guanyuan), BL-23 (Shenshu)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus gradual water increase
What TCM treatment helps patients who eat too quickly?,"Spleen Qi Deficiency with Food Stagnation and Rebellious Qi. Quick eating prevents transformation and qi extraction. Strengthen spleen, descend rebellious qi, practice slow mindful eating.","ST-36 (Zusanli), REN-12 (Zhongwan), PC-6 (Neiguan), ST-25 (Tianshu), SP-6 (Sanyinjiao), BL-20 (Pishu)",Bao He Wan (Preserve Harmony) plus mindful eating practice
How does TCM address overeating and constant fullness?,"Severe Spleen Qi Deficiency with Food Stagnation and Dampness. Overeating overwhelms spleen transformation. Tonify spleen, resolve stagnation-dampness, eat to 80% full (hara hachi bu).","ST-36 (Zusanli), REN-12 (Zhongwan), ST-25 (Tianshu), ST-40 (Fenglong), SP-6 (Sanyinjiao), PC-6 (Neiguan)","Bao He Wan (Preserve Harmony) plus Xiang Sha Liu Jun Zi Tang, eat to 80% full"
What helps emotional eaters with liver qi stagnation?,"Liver Qi Stagnation Invading Spleen with Qi and Blood Deficiency. Emotions affect liver, which disrupts spleen. Soothe liver, strengthen spleen, tonify qi-blood, address emotional root.","LV-3 (Taichong), LV-14 (Qimen), ST-36 (Zusanli), PC-6 (Neiguan), HT-7 (Shenmen), SP-6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) plus Gan Mai Da Zao Tang
How to treat food stagnation from eating while distracted?,"Spleen Qi Deficiency with Severe Food Stagnation. Distracted eating scatters qi and prevents proper digestion. Strengthen spleen, resolve stagnation, eat mindfully without screens.","ST-36 (Zusanli), REN-12 (Zhongwan), ST-25 (Tianshu), PC-6 (Neiguan), SP-6 (Sanyinjiao), LV-3 (Taichong)",Bao He Wan (Preserve Harmony) plus mindful eating without distractions
What TCM approach helps late-night eating habits?,"Spleen Yang Deficiency with Dampness Accumulation. Late eating when yang qi descends creates dampness. Warm spleen yang, resolve dampness, finish eating by 7-8pm latest.","ST-36 (Zusanli), REN-12 (Zhongwan), REN-6 (Qihai), SP-9 (Yinlingquan), SP-6 (Sanyinjiao), DU-4 (Mingmen)","Shen Ling Bai Zhu San (Ginseng, Poria) plus finish eating by 7-8pm"
How does TCM support mindful eating practices?,"Optimal eating supports Spleen transformation. Slow eating, thorough chewing, mindful presence, gratitude for food, 80% fullness, regular timing.","HT-7 (Shenmen), PC-6 (Neiguan), REN-12 (Zhongwan), ST-36 (Zusanli), Yintang","Heart-centered eating practice, gratitude, slow chewing"
What helps patients stuck in yo-yo dieting cycles?,"Spleen-Kidney Qi-Blood Deficiency from repeated restriction. Yo-yo dieting depletes qi-blood and damages spleen-kidney. Tonify spleen-kidney, nourish qi-blood, establish sustainable balanced eating.","ST-36 (Zusanli), SP-6 (Sanyinjiao), KI-3 (Taixi), BL-17 (Geshu), BL-20 (Pishu), BL-23 (Shenshu)","Bu Zhong Yi Qi Tang (Tonify Middle) plus Ba Zhen Tang, sustainable balance"
How to treat digestive issues from eating until overly full?,"Severe Spleen Qi Deficiency with Food Stagnation and Dampness. Extreme fullness damages spleen. Tonify spleen, resolve stagnation, reduce portions gradually to comfortable satisfaction.","ST-36 (Zusanli), REN-12 (Zhongwan), ST-25 (Tianshu), ST-40 (Fenglong), SP-6 (Sanyinjiao), SP-9 (Yinlingquan)",Bao He Wan (Preserve Harmony) plus reduce portions to 80% fullness
What TCM treatment helps establish regular eating rhythm?,"Spleen-Stomach Disharmony from irregular timing. Establish consistent meal schedule, strengthen spleen-stomach, regulate qi, eat at same times daily.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), PC-6 (Neiguan), BL-20 (Pishu), BL-21 (Weishu)","Xiang Sha Liu Jun Zi Tang (Aucklandia, Amomum) plus consistent schedule"
How does TCM address stress eating and cravings?,"Liver Qi Stagnation Invading Spleen with Blood-Yin Deficiency. Stress disrupts liver, affects spleen, creates cravings. Soothe liver, strengthen spleen, nourish blood-yin, manage stress.","LV-3 (Taichong), PC-6 (Neiguan), HT-7 (Shenmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), GB-34 (Yanglingquan)",Xiao Yao San (Free and Easy Wanderer) plus stress management
What TCM treatment helps patients who eat only cold/raw foods?,"Severe Spleen Yang Deficiency with Cold-Dampness. Cold-raw foods directly damage spleen yang. Warm spleen yang drastically, resolve cold-damp, transition entirely to warm cooked foods.","ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), SP-6 (Sanyinjiao), REN-12 (Zhongwan), moxa therapy","Li Zhong Wan (Regulate Middle) plus heavy moxa, warm foods only"
How does TCM address damage from excessive fried foods?,"Stomach-Intestine Damp-Heat with Spleen Qi Deficiency. Fried foods create damp-heat and deplete spleen. Clear damp-heat, tonify spleen, eliminate fried foods, use steaming-boiling.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), LI-11 (Quchi), REN-12 (Zhongwan), SP-6 (Sanyinjiao)",Long Dan Xie Gan Tang (Gentian Drain Liver) plus eliminate fried foods
What helps patients who microwave all their meals?,"Spleen Qi Deficiency with depleted food qi. Microwaving disrupts food essence and vitality. Strengthen spleen, use traditional cooking methods, steam, stir-fry, slow-cook.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), BL-20 (Pishu), REN-6 (Qihai)","Shen Ling Bai Zhu San (Ginseng, Poria) plus traditional cooking methods"
How to treat dryness from too much grilled/roasted food?,"Yin-Blood Deficiency with Internal Heat-Dryness. Excessive grilling-roasting very warming and drying. Nourish yin-blood, clear heat, use moist cooking methods, balance with steaming.","KI-3 (Taixi), KI-6 (Zhaohai), SP-6 (Sanyinjiao), LU-7 (Lieque), ST-36 (Zusanli), BL-13 (Feishu)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Yang Yin Qing Fei Tang
What TCM approach optimizes steaming and boiling methods?,"Steaming and boiling are optimal - gentle, moistening, easy on spleen, preserve nutrients, support transformation. Use as primary cooking methods.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), BL-20 (Pishu)",Optimal cooking methods for spleen support
"How does TCM support transition to warm, cooked foods?","Spleen Yang Deficiency with Cold-Dampness. Warm spleen yang, resolve cold-damp, gradually transition all foods to warm-cooked, use warming spices.","ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), REN-12 (Zhongwan), SP-6 (Sanyinjiao), moxa","Li Zhong Wan (Regulate Middle) plus moxa, gradual warm transition"
What helps patients who avoid cooking and eat processed?,"Spleen Qi Deficiency with No Food Qi. Processed foods lack vitality and are difficult to transform. Tonify spleen, learn simple cooking, meal prep, use slow-cooker.","ST-36 (Zusanli), REN-12 (Zhongwan), REN-6 (Qihai), SP-6 (Sanyinjiao), BL-20 (Pishu)","Shen Ling Bai Zhu San (Ginseng, Poria) plus learn simple cooking"
How to treat heat symptoms from daily spicy food consumption?,"Stomach-Intestine Heat with Yin Deficiency. Daily spicy foods generate heat and deplete yin. Clear heat, nourish yin, reduce spicy frequency, use cooling foods.","LI-11 (Quchi), ST-44 (Neiting), KI-6 (Zhaohai), SP-6 (Sanyinjiao), ST-36 (Zusanli), LU-5 (Chize)","Qing Wei San (Clear Stomach) plus Liu Wei Di Huang Wan, reduce spicy"
What TCM treatment helps sugar addiction and dampness?,"Spleen Qi Deficiency with Severe Damp-Phlegm. Excessive sweet creates dampness and weakens spleen. Tonify spleen, transform phlegm-damp, eliminate refined sugar, use natural sweet in moderation.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), SP-6 (Sanyinjiao), ST-25 (Tianshu)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Er Chen Tang"
How does TCM address excessive salt intake damaging kidneys?,"Kidney Yin-Essence Deficiency with Hypertension. Excessive salt damages kidney yin and essence. Nourish kidney yin-essence, reduce sodium significantly, use herbs for flavor.","KI-3 (Taixi), KI-6 (Zhaohai), BL-23 (Shenshu), SP-6 (Sanyinjiao), ST-36 (Zusanli), LV-3 (Taichong)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Zuo Gui Wan
What helps patients craving too much spicy food?,"Stomach-Lung Yin Deficiency with Internal Heat. Excessive spicy depletes yin, creates heat, damages fluids. Nourish yin, clear heat, reduce spicy foods, use cooling-neutral flavors.","KI-6 (Zhaohai), LU-7 (Lieque), ST-44 (Neiting), SP-6 (Sanyinjiao), KI-3 (Taixi), LU-5 (Chize)",Yang Yin Qing Fei Tang (Nourish Yin Clear Lung) plus Liu Wei Di Huang Wan
How to treat imbalance from lack of bitter flavors?,"Imbalanced flavors with Dampness-Heat tendency. Bitter flavor clears heat and drains dampness. Add bitter greens, tea, moderate use to drain excess, prevent over-drying.","LV-3 (Taichong), LV-14 (Qimen), SP-9 (Yinlingquan), ST-36 (Zusanli), LI-11 (Quchi)",Long Dan Xie Gan Tang (Gentian Drain Liver) plus bitter greens in diet
What TCM approach helps excessive sour food consumption?,"Liver Qi Stagnation or Yin Deficiency with excessive astringency. Excessive sour gathers qi excessively, may stagnate. Soothe liver, balance flavors, reduce sour, use variety.","LV-3 (Taichong), LV-8 (Ququan), SP-6 (Sanyinjiao), BL-18 (Ganshu), KI-3 (Taixi)",Xiao Yao San (Free and Easy Wanderer) plus balance flavors
How does TCM balance the five flavors for health?,"Five flavors correspond to five organs. Balanced use supports all organs - sweet (spleen), salty (kidney), sour (liver), bitter (heart), pungent (lung). Ensure variety and moderation.","Balance all five organ systems: ST-36 (Zusanli), KI-3 (Taixi), LV-3 (Taichong), HT-7 (Shenmen), LU-7 (Lieque)",Balanced formula supporting all five organs based on individual pattern
